#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
183,07/21/2023 01:38:39,15.83,0.00
184,07/21/2023 02:38:39,15.83,0.00
185,07/21/2023 03:38:39,15.70,0.00
186,07/21/2023 04:38:39,15.96,0.00
187,07/21/2023 05:38:39,15.44,37.70
188,07/21/2023 06:38:39,16.77,1166.08
189,07/21/2023 07:38:39,19.22,11115.52
190,07/21/2023 08:38:39,22.43,18467.84
191,07/21/2023 09:38:39,28.31,22179.84
192,07/21/2023 10:38:39,23.98,10316.80
193,07/21/2023 11:38:39,32.26,27043.84
194,07/21/2023 12:38:39,39.47,59166.72
195,07/21/2023 13:38:39,20.80,8586.24
196,07/21/2023 14:38:39,39.21,67297.28
197,07/21/2023 15:38:39,35.78,32829.44
198,07/21/2023 16:38:39,26.90,31293.44
199,07/21/2023 17:38:39,26.42,15989.76
200,07/21/2023 18:38:39,26.04,20520.96
201,07/21/2023 19:38:39,20.89,3015.68
202,07/21/2023 20:38:39,19.13,162.12
203,07/21/2023 21:38:39,16.90,0.00
204,07/21/2023 22:38:39,14.93,0.00
205,07/21/2023 23:38:39,15.91,0.00
206,07/22/2023 00:38:39,14.84,0.00
207,07/22/2023 01:38:39,15.10,0.00
208,07/22/2023 02:38:39,13.08,0.00
209,07/22/2023 03:38:39,11.07,0.00
210,07/22/2023 04:38:39,9.61,0.00
211,07/22/2023 05:38:39,10.29,94.24
212,07/22/2023 06:38:39,14.24,4974.08
213,07/22/2023 07:38:39,20.98,14909.44
214,07/22/2023 08:38:39,25.05,22056.96
215,07/22/2023 09:38:39,35.39,47861.76
216,07/22/2023 10:38:39,35.86,31836.16
217,07/22/2023 11:38:39,40.02,62566.40
218,07/22/2023 12:38:39,40.67,69099.52
219,07/22/2023 13:38:39,37.54,42414.08
220,07/22/2023 14:38:39,44.23,73420.80
221,07/22/2023 15:38:39,37.92,47472.64
222,07/22/2023 16:38:39,33.85,18903.04
223,07/22/2023 17:38:39,32.13,15687.68
224,07/22/2023 18:38:39,32.99,20638.72
225,07/22/2023 19:38:39,26.68,6553.60
226,07/22/2023 20:38:39,14.93,228.80
227,07/22/2023 21:38:39,14.15,0.00
228,07/22/2023 22:38:39,11.79,0.00
229,07/22/2023 23:38:39,10.68,0.00
230,07/23/2023 00:38:39,10.94,0.00
231,07/23/2023 01:38:39,10.42,0.00
232,07/23/2023 02:38:39,10.21,0.00
233,07/23/2023 03:38:39,11.07,0.00
234,07/23/2023 04:38:39,11.71,0.00
235,07/23/2023 05:38:39,10.34,94.24
236,07/23/2023 06:38:39,15.31,4414.72
237,07/23/2023 07:38:39,19.99,14300.16
238,07/23/2023 08:38:39,26.04,28692.48
239,07/23/2023 09:38:39,37.88,43745.28
240,07/23/2023 10:38:39,41.40,33208.32
241,07/23/2023 11:38:39,43.88,60948.48
242,07/23/2023 12:38:39,42.98,65986.56
243,07/23/2023 13:38:39,42.94,47124.48
244,07/23/2023 14:38:39,45.17,65105.92
245,07/23/2023 15:38:39,44.96,53985.28
246,07/23/2023 16:38:39,35.86,17131.52
247,07/23/2023 17:38:39,34.02,14320.64
248,07/23/2023 18:38:39,35.05,20689.92
249,07/23/2023 19:38:39,27.58,5678.08
250,07/23/2023 20:38:39,17.16,174.88
251,07/23/2023 21:38:39,15.01,0.00
252,07/23/2023 22:38:39,14.33,0.00
253,07/23/2023 23:38:39,14.80,0.00
254,07/24/2023 00:38:39,16.04,0.00
255,07/24/2023 01:38:39,15.14,0.00
256,07/24/2023 02:38:39,13.17,0.00
257,07/24/2023 03:38:39,13.98,0.00
258,07/24/2023 04:38:39,14.11,0.00
259,07/24/2023 05:38:39,13.73,71.02
260,07/24/2023 06:38:39,17.03,4700.16
261,07/24/2023 07:38:39,18.02,5954.56
262,07/24/2023 08:38:39,19.26,9431.04
263,07/24/2023 09:38:39,36.51,44830.72
264,07/24/2023 10:38:39,35.30,24729.60
265,07/24/2023 11:38:39,43.28,52101.12
266,07/24/2023 12:38:39,45.26,70717.44
267,07/24/2023 13:38:39,36.33,10490.88
268,07/24/2023 14:38:39,43.93,25600.00
269,07/24/2023 15:38:39,24.06,17863.68
270,07/24/2023 16:38:39,30.16,28600.32
271,07/24/2023 17:38:39,20.33,673.28
272,07/24/2023 18:38:39,19.56,2673.92
273,07/24/2023 19:38:39,18.62,2093.44
274,07/24/2023 20:38:39,17.76,122.56
275,07/24/2023 21:38:39,14.37,0.00
276,07/24/2023 22:38:39,14.37,0.00
277,07/24/2023 23:38:39,13.25,0.00
278,07/25/2023 00:38:39,14.07,0.00
279,07/25/2023 01:38:39,14.28,0.00
280,07/25/2023 02:38:39,13.12,0.00
281,07/25/2023 03:38:39,13.12,0.00
282,07/25/2023 04:38:39,13.12,0.00
283,07/25/2023 05:38:39,12.35,64.34
284,07/25/2023 06:38:39,16.04,3642.88
285,07/25/2023 07:38:39,21.28,14658.56
286,07/25/2023 08:38:39,23.03,15994.88
287,07/25/2023 09:38:39,30.33,31436.80
288,07/25/2023 10:38:39,30.46,22487.04
289,07/25/2023 11:38:39,32.43,22374.40
290,07/25/2023 12:38:39,32.82,23224.32
291,07/25/2023 13:38:39,36.68,33945.60
292,07/25/2023 14:38:39,39.12,51691.52
293,07/25/2023 15:38:39,34.96,18319.36
294,07/25/2023 16:38:39,41.91,33382.40
295,07/25/2023 17:38:39,38.65,27668.48
296,07/25/2023 18:38:39,31.06,7600.64
297,07/25/2023 19:38:39,21.66,3116.80
298,07/25/2023 20:38:39,18.66,171.60
299,07/25/2023 21:38:39,16.30,0.00
300,07/25/2023 22:38:39,15.06,0.00
301,07/25/2023 23:38:39,14.41,0.00
302,07/26/2023 00:38:39,13.81,0.00
303,07/26/2023 01:38:39,13.60,0.00
304,07/26/2023 02:38:39,12.87,0.00
305,07/26/2023 03:38:39,13.12,0.00
306,07/26/2023 04:38:39,13.43,0.00
307,07/26/2023 05:38:39,13.38,56.46
308,07/26/2023 06:38:39,16.26,4311.04
309,07/26/2023 07:38:39,22.99,15472.64
310,07/26/2023 08:38:39,30.80,31918.08
311,07/26/2023 09:38:39,39.21,38266.88
312,07/26/2023 10:38:39,41.14,33935.36
313,07/26/2023 11:38:39,45.77,53719.04
314,07/26/2023 12:38:39,46.12,59760.64
315,07/26/2023 13:38:39,48.17,57405.44
316,07/26/2023 14:38:39,44.48,61235.20
317,07/26/2023 15:38:39,47.83,53944.32
318,07/26/2023 16:38:39,43.20,26081.28
319,07/26/2023 17:38:39,42.25,27822.08
320,07/26/2023 18:38:39,31.83,11709.44
321,07/26/2023 19:38:39,24.49,3449.60
322,07/26/2023 20:38:39,21.96,77.72
323,07/26/2023 21:38:39,21.79,0.00
324,07/26/2023 22:38:39,22.35,0.00
325,07/26/2023 23:38:39,22.69,0.00
326,07/27/2023 00:38:39,22.01,0.00
327,07/27/2023 01:38:39,20.59,0.00
328,07/27/2023 02:38:39,20.37,0.00
329,07/27/2023 03:38:39,20.42,0.00
330,07/27/2023 04:38:39,20.42,0.00
331,07/27/2023 05:38:39,20.72,6.52
332,07/27/2023 06:38:39,20.03,379.52
333,07/27/2023 07:38:39,21.49,2946.56
334,07/27/2023 08:38:39,30.41,35205.12
335,07/27/2023 09:38:39,23.55,5196.80
336,07/27/2023 10:38:39,30.24,20705.28
337,07/27/2023 11:38:39,33.67,34048.00
338,07/27/2023 12:38:39,37.23,19650.56
339,07/27/2023 13:38:39,41.44,26777.60
340,07/27/2023 14:38:39,25.39,19118.08
341,07/27/2023 15:38:39,31.31,30658.56
342,07/27/2023 16:38:39,22.09,5329.92
343,07/27/2023 17:38:39,30.50,25917.44
344,07/27/2023 18:38:39,31.23,20904.96
345,07/27/2023 19:38:39,23.59,1440.00
346,07/27/2023 20:38:39,22.52,29.11
347,07/27/2023 21:38:39,21.92,0.00
348,07/27/2023 22:38:39,21.58,0.00
349,07/27/2023 23:38:39,20.59,0.00
350,07/28/2023 00:38:39,18.49,0.00
351,07/28/2023 01:38:39,16.99,0.00
352,07/28/2023 02:38:39,18.32,0.00
353,07/28/2023 03:38:39,15.74,0.00
354,07/28/2023 04:38:39,15.14,0.00
355,07/28/2023 05:38:39,16.94,28.78
356,07/28/2023 06:38:39,20.20,2830.08
357,07/28/2023 07:38:39,26.12,17981.44
358,07/28/2023 08:38:39,29.90,25712.64
359,07/28/2023 09:38:39,37.28,40755.20
360,07/28/2023 10:38:39,39.21,33720.32
361,07/28/2023 11:38:39,46.20,61337.60
362,07/28/2023 12:38:39,47.45,76267.52
363,07/28/2023 13:38:39,40.75,44564.48
364,07/28/2023 14:38:39,43.84,59924.48
365,07/28/2023 15:38:39,45.30,48660.48
366,07/28/2023 16:38:39,42.73,21196.80
367,07/28/2023 17:38:39,38.69,29317.12
368,07/28/2023 18:38:39,31.53,9134.08
369,07/28/2023 19:38:39,26.47,3386.88
370,07/28/2023 20:38:39,21.49,57.14
371,07/28/2023 21:38:39,21.53,0.00
372,07/28/2023 22:38:39,21.36,0.00
373,07/28/2023 23:38:39,21.75,0.00
374,07/29/2023 00:38:39,20.72,0.00
375,07/29/2023 01:38:39,20.55,0.00
376,07/29/2023 02:38:39,20.25,0.00
377,07/29/2023 03:38:39,20.29,0.00
378,07/29/2023 04:38:39,18.74,0.00
379,07/29/2023 05:38:39,18.53,36.26
380,07/29/2023 06:38:39,21.06,1375.36
381,07/29/2023 07:38:39,26.08,9269.76
382,07/29/2023 08:38:39,34.36,17863.68
383,07/29/2023 09:38:39,36.12,21401.60
384,07/29/2023 10:38:39,41.87,49623.04
385,07/29/2023 11:38:39,36.25,19927.04
386,07/29/2023 12:38:39,32.22,14960.64
387,07/29/2023 13:38:39,33.93,15994.88
388,07/29/2023 14:38:39,22.09,4992.00
389,07/29/2023 15:38:39,23.21,8189.44
390,07/29/2023 16:38:39,20.12,3006.72
391,07/29/2023 17:38:39,19.30,6993.92
392,07/29/2023 18:38:39,19.90,5281.28
393,07/29/2023 19:38:39,17.63,1441.92
394,07/29/2023 20:38:39,16.69,35.10
395,07/29/2023 21:38:39,15.78,0.00
396,07/29/2023 22:38:39,15.01,0.00
397,07/29/2023 23:38:39,13.98,0.00
398,07/30/2023 00:38:39,12.05,0.00
399,07/30/2023 01:38:39,10.72,0.00
400,07/30/2023 02:38:39,12.14,0.00
401,07/30/2023 03:38:39,11.49,0.00
402,07/30/2023 04:38:39,13.85,0.00
403,07/30/2023 05:38:39,14.45,5.59
404,07/30/2023 06:38:39,14.50,1146.88
405,07/30/2023 07:38:39,16.94,11970.56
406,07/30/2023 08:38:39,25.91,39874.56
407,07/30/2023 09:38:39,31.10,41891.84
408,07/30/2023 10:38:39,27.93,25600.00
409,07/30/2023 11:38:39,27.24,23562.24
410,07/30/2023 12:38:39,39.29,69734.40
411,07/30/2023 13:38:39,34.27,20090.88
412,07/30/2023 14:38:39,36.46,78069.76
413,07/30/2023 15:38:39,39.21,59392.00
414,07/30/2023 16:38:39,34.49,18391.04
415,07/30/2023 17:38:39,33.80,30914.56
416,07/30/2023 18:38:39,31.74,21084.16
417,07/30/2023 19:38:39,20.33,3490.56
418,07/30/2023 20:38:39,11.24,92.64
419,07/30/2023 21:38:39,12.40,0.00
420,07/30/2023 22:38:39,11.75,0.00
421,07/30/2023 23:38:39,11.15,0.00
422,07/31/2023 00:38:39,9.91,0.00
423,07/31/2023 01:38:39,11.07,0.00
424,07/31/2023 02:38:39,11.32,0.00
425,07/31/2023 03:38:39,10.72,0.00
426,07/31/2023 04:38:39,10.68,0.00
427,07/31/2023 05:38:39,8.79,25.76
428,07/31/2023 06:38:39,10.46,3333.12
429,07/31/2023 07:38:39,19.60,16517.12
430,07/31/2023 08:38:39,25.82,29655.04
431,07/31/2023 09:38:39,31.40,27596.80
432,07/31/2023 10:38:39,35.86,42885.12
433,07/31/2023 11:38:39,36.85,38205.44
434,07/31/2023 12:38:39,37.11,64368.64
435,07/31/2023 13:38:39,22.22,18324.48
436,07/31/2023 14:38:39,20.33,18841.60
437,07/31/2023 15:38:39,25.05,25159.68
438,07/31/2023 16:38:39,27.50,23961.60
439,07/31/2023 17:38:39,25.48,11801.60
440,07/31/2023 18:38:39,26.08,19635.20
441,07/31/2023 19:38:39,18.10,3850.24
